Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
non-binary,high school,swimming,suburban,summer,0,0,0,192,197,1497,9,77549,32
male,bachelor,swimming,suburban,summer,1,0,0,255,203,3905,4,102457,65
male,high school,swimming,urban,fall,0,1,0,131,246,4243,0,61419,47
female,master,skiing,urban,summer,0,1,0,252,220,4006,8,116481,35
female,doctorate,hiking,urban,summer,1,0,1,24,109,3296,5,73880,29
male,master,hiking,suburban,fall,0,0,0,280,210,1502,8,112536,21
male,master,sunbathing,urban,fall,0,0,0,222,51,4929,3,65156,33
non-binary,high school,sunbathing,rural,winter,0,1,0,294,142,2061,9,36164,40
female,high school,skiing,suburban,fall,1,0,0,297,62,4170,6,38152,28
male,doctorate,swimming,rural,winter,0,1,0,102,212,1587,6,61039,41
non-binary,high school,hiking,suburban,fall,1,1,1,155,193,4936,5,35846,39
male,doctorate,sunbathing,rural,spring,1,0,0,144,142,4147,0,43819,56
female,high school,swimming,urban,winter,1,1,0,265,52,803,8,39502,32
male,doctorate,swimming,rural,winter,0,0,0,37,208,1740,3,36156,66
male,doctorate,swimming,rural,fall,0,1,0,192,275,3336,0,116193,32
female,bachelor,swimming,urban,spring,1,1,0,267,77,3456,5,89381,27
male,high school,hiking,urban,winter,0,1,0,200,93,4424,4,48533,45
female,high school,swimming,urban,spring,0,0,0,281,115,1437,6,64000,53
non-binary,master,skiing,urban,summer,1,0,0,259,118,840,1,92847,34
non-binary,master,swimming,rural,winter,1,0,0,126,10,3234,5,115182,53
male,bachelor,hiking,suburban,fall,1,0,1,64,152,696,3,38317,39
non-binary,bachelor,swimming,suburban,spring,0,0,0,233,234,2725,0,25822,40
female,bachelor,skiing,urban,fall,0,0,0,176,81,4323,4,61467,46
female,doctorate,skiing,suburban,summer,1,1,1,220,250,2319,1,107981,39
male,master,sunbathing,urban,spring,1,0,0,61,84,2840,5,115780,28
non-binary,master,sunbathing,suburban,summer,0,1,0,65,267,3429,6,23666,53
female,high school,skiing,urban,winter,0,1,0,210,177,3201,5,91022,61
female,master,sunbathing,urban,winter,1,1,0,29,124,2759,5,115722,46
male,doctorate,swimming,suburban,winter,1,0,0,173,220,4601,2,42262,59
non-binary,doctorate,swimming,suburban,summer,0,1,0,281,253,2988,1,84373,49
female,master,hiking,rural,fall,0,0,1,112,276,1164,4,75332,31
male,high school,hiking,suburban,summer,1,1,0,290,237,3107,2,114628,35
male,bachelor,skiing,suburban,summer,1,1,1,36,293,2845,3,53538,55
female,master,skiing,rural,winter,1,1,0,279,85,4689,8,27659,54
female,bachelor,skiing,suburban,winter,1,1,1,40,122,3795,4,102363,51
male,bachelor,swimming,suburban,fall,1,0,0,227,242,2089,3,76417,62
non-binary,doctorate,hiking,suburban,spring,1,0,0,251,11,2122,9,62091,40
male,master,swimming,rural,fall,1,1,0,44,239,3527,7,68420,49
non-binary,high school,skiing,suburban,summer,0,0,1,55,205,2447,7,46234,63
female,bachelor,swimming,suburban,summer,0,0,0,113,114,1275,9,26816,20
female,bachelor,skiing,urban,spring,0,1,0,118,96,607,5,69902,60
female,doctorate,sunbathing,urban,fall,1,0,0,270,201,4696,0,23884,39
male,high school,swimming,urban,winter,0,1,0,217,31,1170,7,103519,40
non-binary,doctorate,swimming,rural,summer,1,1,0,169,205,3118,1,25179,21
male,high school,sunbathing,suburban,winter,1,0,0,88,232,3490,6,45234,30
male,master,sunbathing,urban,fall,0,0,0,289,148,4873,7,50505,49
male,master,hiking,urban,summer,1,1,0,181,97,4269,7,106030,46
non-binary,bachelor,swimming,suburban,winter,0,0,0,297,90,2461,3,86866,57
non-binary,high school,sunbathing,urban,summer,1,0,0,253,17,4791,7,68465,57
female,master,swimming,rural,winter,1,0,0,257,26,3041,4,31132,62
male,doctorate,hiking,suburban,summer,0,0,0,105,81,1820,5,65263,27
non-binary,bachelor,sunbathing,suburban,summer,1,1,0,22,219,1438,7,60251,30
male,bachelor,swimming,suburban,fall,0,1,0,45,124,3290,7,103046,62
female,master,skiing,rural,winter,1,0,1,147,234,1184,4,104637,34
female,master,hiking,urban,summer,1,0,0,207,51,1819,9,96333,55
male,bachelor,hiking,urban,winter,0,1,1,99,193,4805,8,97060,19
female,master,skiing,suburban,summer,0,1,0,159,9,4917,5,25185,34
non-binary,high school,swimming,urban,winter,0,1,0,43,153,4562,1,99742,61
non-binary,master,sunbathing,suburban,fall,0,1,0,200,228,4980,0,81842,43
non-binary,bachelor,sunbathing,suburban,fall,0,1,0,56,206,863,5,43152,55
non-binary,doctorate,hiking,urban,spring,0,0,0,86,86,2082,1,93902,54
female,doctorate,hiking,urban,summer,0,1,1,17,252,4071,0,70838,22
non-binary,high school,skiing,urban,fall,1,1,1,44,243,1619,9,47813,42
female,master,hiking,rural,fall,0,0,1,61,295,4797,8,21295,26
female,bachelor,skiing,urban,winter,0,1,1,185,294,3843,5,67117,45
male,bachelor,hiking,rural,spring,1,1,0,234,34,4212,8,81379,39
female,high school,hiking,urban,summer,1,1,0,186,95,1453,9,37657,46
male,high school,skiing,rural,spring,1,1,1,218,226,4784,6,22309,52
female,master,skiing,suburban,winter,1,1,1,91,196,1857,4,107876,37
non-binary,master,hiking,suburban,winter,1,0,0,279,82,2634,6,31042,22
male,high school,skiing,suburban,winter,0,1,1,94,154,1444,9,51385,56
female,high school,swimming,urban,fall,0,1,0,233,78,2871,9,113576,61
female,high school,hiking,rural,fall,1,1,0,258,134,4161,0,46544,49
male,master,hiking,urban,spring,0,1,1,176,290,831,5,98020,56
male,doctorate,hiking,suburban,spring,0,1,0,257,144,4069,8,68792,27
non-binary,bachelor,sunbathing,urban,winter,0,1,0,277,20,1886,8,43633,57
non-binary,high school,swimming,urban,fall,1,1,0,283,199,2838,2,62853,34
female,high school,sunbathing,rural,winter,1,0,0,172,160,2458,4,41661,54
female,doctorate,swimming,urban,spring,0,0,0,163,97,1095,7,87359,32
female,master,skiing,urban,fall,0,0,0,295,186,3517,0,44674,26
female,doctorate,hiking,rural,spring,1,0,0,180,28,2066,3,40051,49
male,high school,sunbathing,rural,winter,0,0,0,287,298,4135,4,75070,40
male,doctorate,hiking,rural,winter,0,0,1,89,234,3020,1,98803,28
female,master,swimming,urban,winter,1,1,0,154,111,1933,9,47738,30
female,high school,hiking,urban,fall,0,1,1,91,96,4480,2,41425,35
non-binary,high school,sunbathing,suburban,fall,1,1,0,133,102,3323,3,66652,66
female,master,hiking,rural,summer,1,1,0,284,129,2383,6,37038,26
non-binary,doctorate,skiing,suburban,spring,0,1,0,226,104,1863,4,92957,59
non-binary,master,hiking,urban,winter,0,0,1,69,122,4780,7,75435,22
female,high school,sunbathing,suburban,summer,1,1,0,184,46,4538,3,89642,60
male,high school,swimming,urban,summer,0,1,0,293,106,4666,6,51593,39
non-binary,bachelor,skiing,rural,summer,0,0,0,227,50,4079,9,69730,49
non-binary,master,hiking,rural,spring,1,1,1,34,264,4591,9,43264,64
female,master,hiking,rural,winter,1,0,1,120,172,3982,1,83512,19
male,doctorate,hiking,rural,spring,1,1,0,104,90,4049,3,31216,38
non-binary,master,hiking,rural,winter,0,0,0,238,102,3104,1,35024,45
female,master,swimming,suburban,spring,0,1,0,291,127,1804,7,44085,69
male,master,sunbathing,urban,spring,1,0,0,140,79,1335,6,111370,41
male,doctorate,sunbathing,urban,spring,1,1,0,253,270,1128,8,57058,41
male,bachelor,swimming,suburban,summer,1,1,0,212,89,939,5,51127,31
non-binary,master,swimming,suburban,spring,1,0,0,18,90,3259,8,28915,54
male,bachelor,swimming,urban,fall,1,1,0,96,195,832,5,20654,44
non-binary,doctorate,swimming,rural,summer,0,0,0,21,145,822,4,72012,41
female,doctorate,swimming,suburban,winter,0,1,0,15,108,2584,4,110476,23
male,doctorate,skiing,urban,fall,0,0,1,145,177,3804,4,45393,43
non-binary,doctorate,sunbathing,rural,winter,0,1,0,281,17,4226,5,22416,32
male,high school,skiing,rural,winter,1,0,0,175,108,2953,3,20125,46
non-binary,master,swimming,urban,spring,0,0,0,149,177,1336,7,25709,53
female,bachelor,skiing,urban,winter,1,0,1,60,250,3535,5,35803,27
non-binary,bachelor,swimming,suburban,winter,0,1,0,44,173,1727,5,81575,45
female,high school,sunbathing,urban,summer,0,0,0,84,27,4656,4,113265,68
male,bachelor,sunbathing,suburban,spring,0,0,0,222,282,3051,9,77224,26
non-binary,master,sunbathing,urban,spring,0,1,0,162,252,4226,3,75672,38
female,high school,sunbathing,rural,summer,1,0,0,15,275,928,7,108521,27
male,high school,hiking,suburban,fall,0,1,1,33,261,2463,3,46213,21
female,high school,swimming,urban,fall,1,0,0,116,40,4247,4,109767,21
male,doctorate,sunbathing,rural,summer,1,0,0,145,181,4475,6,41714,23
female,high school,skiing,rural,summer,1,1,0,114,11,3015,4,59884,43
non-binary,high school,swimming,urban,spring,1,0,0,286,258,4749,6,33528,57
female,doctorate,swimming,urban,summer,1,1,0,77,245,1740,5,84381,33
male,high school,hiking,suburban,spring,1,1,0,141,98,4659,5,27561,25
female,bachelor,sunbathing,urban,summer,0,0,0,152,242,2931,1,27044,45
female,master,hiking,urban,summer,1,0,0,257,130,3842,7,77165,33
non-binary,bachelor,skiing,rural,summer,1,0,0,197,67,3336,2,34747,55
male,doctorate,sunbathing,rural,fall,1,0,0,100,119,4480,0,31336,66
male,doctorate,sunbathing,suburban,summer,0,0,0,80,96,4120,5,56329,18
female,master,hiking,urban,spring,1,1,1,67,200,1172,1,49255,36
male,master,skiing,rural,spring,0,0,1,22,252,1769,1,104108,67
male,high school,sunbathing,urban,summer,1,1,0,232,127,3835,9,41062,34
male,master,swimming,urban,summer,1,0,0,224,151,4394,2,76825,66
non-binary,master,hiking,suburban,spring,1,1,0,241,108,2942,1,35555,45
non-binary,bachelor,sunbathing,urban,winter,0,0,0,208,70,1054,1,71092,61
non-binary,master,swimming,suburban,winter,0,1,0,79,262,3125,9,87216,29
male,doctorate,sunbathing,suburban,winter,1,0,0,230,197,4546,3,105556,23
non-binary,master,skiing,rural,summer,0,0,1,63,177,3243,2,72225,24
male,high school,sunbathing,rural,winter,0,0,0,272,108,3945,2,119306,25
non-binary,bachelor,sunbathing,urban,fall,1,1,0,244,76,3954,7,82369,20
female,master,skiing,urban,winter,0,0,0,289,35,1704,5,109066,66
male,doctorate,skiing,rural,winter,0,1,1,114,136,3414,8,66983,38
female,master,sunbathing,urban,winter,1,0,0,130,141,3135,6,50444,25
female,master,sunbathing,urban,spring,0,1,0,188,250,3271,1,118789,45
female,high school,hiking,suburban,summer,0,1,1,178,207,1205,0,90910,47
non-binary,doctorate,swimming,urban,summer,0,0,0,92,185,4779,9,42472,49
non-binary,master,hiking,rural,summer,1,1,0,272,214,1006,5,77137,28
female,master,hiking,urban,spring,0,0,1,3,149,1407,8,57504,37
female,high school,swimming,suburban,spring,0,0,0,196,80,4481,4,42132,67
female,master,swimming,urban,spring,1,0,0,271,210,2314,3,96381,33
non-binary,bachelor,swimming,urban,fall,1,0,0,220,164,2480,6,47436,42
female,master,swimming,rural,spring,0,0,0,100,154,4568,4,117311,62
female,master,hiking,rural,spring,0,1,1,11,277,3450,6,98909,26
male,high school,swimming,urban,summer,1,0,0,239,6,2128,2,45923,68
female,high school,hiking,urban,summer,1,0,0,247,146,3116,1,119982,56
male,bachelor,hiking,urban,summer,1,0,0,267,6,681,7,20375,66
male,bachelor,sunbathing,suburban,winter,0,1,0,91,10,1170,4,32401,57
male,master,swimming,urban,summer,1,1,0,188,137,2393,0,82541,57
non-binary,doctorate,skiing,suburban,fall,0,0,1,37,97,2840,9,37328,20
female,bachelor,swimming,urban,winter,1,1,0,260,291,2877,9,103985,33
female,bachelor,skiing,urban,winter,0,1,1,51,81,1929,8,50858,29
male,bachelor,sunbathing,suburban,summer,0,0,0,280,148,1951,1,47596,32
male,bachelor,hiking,urban,winter,1,1,0,159,46,3944,2,116591,21
male,doctorate,swimming,suburban,summer,1,0,0,293,291,4809,0,68270,40
male,high school,hiking,suburban,winter,0,1,0,89,18,3233,9,90858,44
female,doctorate,swimming,urban,spring,0,1,0,88,121,4410,8,91562,56
female,master,swimming,urban,summer,1,0,0,171,252,4601,9,66840,60
male,bachelor,swimming,suburban,spring,0,0,0,213,24,4831,7,30714,54
male,high school,skiing,rural,fall,1,1,0,157,33,4143,4,36822,30
male,bachelor,swimming,suburban,spring,0,0,0,215,5,4742,4,82906,60
male,high school,sunbathing,rural,summer,1,1,0,105,59,779,5,94563,54
non-binary,master,hiking,suburban,summer,0,1,1,73,125,2128,3,112027,57
female,bachelor,hiking,suburban,fall,0,1,1,121,245,1189,4,87768,38
female,high school,hiking,rural,summer,0,0,1,136,265,1766,5,52654,46
non-binary,bachelor,swimming,rural,spring,0,1,0,245,10,1789,4,43372,46
male,high school,skiing,rural,fall,0,0,1,107,275,1566,7,29045,66
male,bachelor,sunbathing,urban,fall,1,1,0,57,229,2351,2,94607,28
female,master,hiking,rural,fall,0,1,1,164,272,2785,6,65671,68
non-binary,bachelor,hiking,rural,spring,1,1,0,190,69,985,3,42612,67
male,high school,hiking,urban,winter,1,1,1,115,126,4775,2,98009,45
female,master,skiing,suburban,fall,0,1,0,73,72,1827,3,91489,27
female,high school,hiking,suburban,spring,0,1,1,96,211,3008,8,27676,22
female,doctorate,sunbathing,suburban,summer,0,0,0,246,113,1141,4,84970,42
non-binary,master,swimming,suburban,fall,0,0,0,206,153,1025,1,55452,50
non-binary,high school,hiking,suburban,winter,1,0,0,248,108,2960,0,76744,34
non-binary,doctorate,swimming,rural,spring,0,1,0,28,237,1134,1,46228,66
non-binary,doctorate,hiking,suburban,fall,0,0,0,88,63,4467,8,31406,50
non-binary,master,swimming,rural,winter,0,0,0,98,208,1847,0,88339,42
non-binary,doctorate,hiking,rural,spring,0,1,0,155,155,4271,6,55581,50
female,doctorate,hiking,urban,summer,1,1,0,197,30,2156,4,26604,26
female,bachelor,sunbathing,rural,fall,1,1,0,160,49,2630,2,74222,44
male,master,swimming,suburban,spring,0,0,0,271,245,840,1,48087,42
male,high school,skiing,rural,summer,1,1,0,88,27,3414,6,79377,21
male,bachelor,sunbathing,rural,spring,1,0,0,169,255,1029,7,111510,26
non-binary,bachelor,hiking,suburban,summer,0,0,1,150,270,2696,6,32338,63
non-binary,bachelor,hiking,urban,winter,0,0,0,198,28,2708,6,61189,32
male,high school,skiing,urban,winter,0,0,0,253,60,2618,2,74418,33
male,bachelor,hiking,suburban,summer,1,0,0,192,179,3584,8,115225,33
non-binary,doctorate,swimming,urban,spring,0,1,0,193,232,1421,4,83562,30
non-binary,master,skiing,rural,summer,1,1,1,242,287,3169,2,35691,31
female,bachelor,sunbathing,urban,spring,1,0,0,53,212,1463,2,77856,39
male,master,swimming,urban,winter,1,0,0,63,224,2240,0,51782,38
non-binary,doctorate,swimming,rural,spring,1,1,0,273,168,4398,5,50614,26
female,master,skiing,rural,summer,0,1,1,33,234,4230,6,101880,58
female,master,swimming,suburban,fall,0,0,0,298,220,4884,3,88463,21
non-binary,high school,sunbathing,urban,summer,1,0,0,43,35,741,3,35659,27
non-binary,master,sunbathing,suburban,winter,1,0,0,217,194,3536,2,53812,52
female,bachelor,hiking,urban,fall,1,0,1,28,37,2042,7,57275,26
female,high school,hiking,suburban,winter,1,0,1,93,119,4324,9,70839,68
non-binary,master,skiing,suburban,fall,1,0,1,54,127,2961,6,108642,65
male,bachelor,sunbathing,rural,winter,0,0,0,216,140,610,7,61036,33
male,bachelor,hiking,urban,fall,1,1,0,234,231,4346,8,32225,66
male,master,sunbathing,suburban,fall,0,1,0,126,3,4410,8,76564,35
male,bachelor,hiking,suburban,winter,0,0,1,164,269,3812,3,51017,27
male,master,skiing,suburban,summer,1,0,0,191,94,1178,4,88907,38
male,master,hiking,urban,fall,1,1,1,1,248,1022,5,67928,68
male,master,skiing,rural,summer,0,0,1,235,244,4551,4,29871,32
non-binary,bachelor,skiing,urban,fall,1,1,0,215,183,821,0,98931,32
female,high school,hiking,suburban,fall,0,0,1,51,95,1522,7,39679,28
female,doctorate,swimming,suburban,winter,1,1,0,117,242,2859,9,91894,57
female,doctorate,sunbathing,urban,spring,1,1,0,272,185,2667,2,116957,65
female,doctorate,sunbathing,suburban,winter,1,0,0,112,271,2626,7,68009,59
male,doctorate,swimming,rural,winter,1,0,0,176,150,832,9,103134,58
non-binary,master,swimming,suburban,winter,1,0,0,21,32,1283,6,88607,64
female,master,hiking,urban,winter,0,0,1,142,235,2295,9,86838,54
male,high school,swimming,urban,winter,0,1,0,143,158,2799,3,81904,37
male,doctorate,sunbathing,urban,summer,0,0,0,226,13,2168,6,57809,51
male,bachelor,hiking,urban,winter,0,1,1,253,260,961,2,99943,39
non-binary,high school,swimming,suburban,spring,1,1,0,204,58,1328,4,59427,65
non-binary,doctorate,hiking,suburban,summer,0,1,1,141,265,2338,2,56215,35
non-binary,bachelor,sunbathing,rural,winter,0,1,0,194,7,549,7,85686,33
female,bachelor,skiing,suburban,spring,0,1,1,63,193,4408,8,74305,22
female,master,skiing,urban,summer,1,1,0,293,256,2567,8,73045,18
non-binary,bachelor,swimming,urban,summer,1,0,0,280,94,1029,9,106496,36
non-binary,master,swimming,rural,summer,0,1,0,65,265,3560,2,50989,27
non-binary,bachelor,swimming,suburban,spring,0,0,0,239,242,3860,6,38900,38
non-binary,high school,skiing,rural,spring,0,0,1,122,132,4948,1,30755,30
male,bachelor,skiing,suburban,spring,1,0,0,251,156,1972,1,34809,41
female,high school,hiking,suburban,winter,0,1,0,127,68,4615,8,68173,40
male,bachelor,skiing,rural,winter,1,0,0,261,148,3918,7,58436,40
female,doctorate,swimming,rural,spring,0,0,0,14,166,2302,8,87264,28
male,doctorate,swimming,rural,summer,1,1,0,176,150,2523,8,67293,64
male,high school,swimming,rural,spring,0,1,0,176,125,2427,7,23650,19
male,bachelor,swimming,suburban,winter,0,0,0,145,183,2766,3,31866,23
non-binary,bachelor,sunbathing,urban,winter,0,1,0,21,262,3328,8,48474,28
male,master,sunbathing,urban,summer,0,0,0,93,93,4883,2,108630,32
male,high school,sunbathing,rural,summer,1,0,0,131,284,1871,8,35779,26
non-binary,high school,swimming,rural,summer,0,1,0,228,280,2384,8,93238,29
non-binary,bachelor,skiing,rural,fall,0,1,0,291,43,1233,4,69695,53
female,master,swimming,suburban,fall,0,1,0,127,15,2969,5,25837,45
male,doctorate,sunbathing,rural,winter,1,0,0,15,164,4495,6,38351,40
female,high school,swimming,suburban,spring,1,1,0,103,57,518,4,79514,44
female,bachelor,sunbathing,rural,spring,1,1,0,207,212,1391,8,99349,41
male,high school,hiking,urban,summer,1,0,0,271,249,2323,2,99754,31
female,bachelor,sunbathing,suburban,spring,1,0,0,69,225,2509,6,26786,52
non-binary,master,sunbathing,urban,spring,1,0,0,25,272,1294,5,46766,44
non-binary,high school,swimming,suburban,summer,0,1,0,213,108,3451,6,64921,38
male,master,hiking,urban,fall,0,1,1,83,277,2781,3,63015,66
female,high school,sunbathing,rural,summer,0,1,0,195,273,4346,5,65145,30
male,doctorate,sunbathing,suburban,summer,0,0,0,173,256,4986,7,70515,25
non-binary,doctorate,hiking,rural,fall,0,0,0,249,183,1593,7,64972,61
male,doctorate,sunbathing,rural,winter,0,1,0,157,123,3443,3,95313,61
non-binary,master,hiking,suburban,winter,1,0,1,11,212,4024,2,93793,61
non-binary,master,sunbathing,rural,spring,0,0,0,282,289,1443,2,41280,51
non-binary,master,hiking,rural,winter,1,1,0,175,0,2202,5,47024,59
female,bachelor,sunbathing,urban,fall,0,0,0,2,21,4066,9,106312,40
female,master,skiing,rural,spring,0,0,0,257,224,4291,3,101126,26
female,doctorate,sunbathing,urban,winter,1,1,0,109,52,3568,6,29675,18
female,bachelor,sunbathing,suburban,winter,0,1,0,29,208,1407,1,75306,53
non-binary,bachelor,skiing,suburban,fall,1,1,1,24,126,3833,9,28251,63
non-binary,doctorate,sunbathing,urban,fall,1,1,0,297,280,3897,6,48692,33
non-binary,high school,hiking,rural,summer,0,1,0,177,121,2687,5,107467,42
female,doctorate,swimming,urban,winter,1,0,0,236,116,4084,0,62842,35
male,master,skiing,urban,summer,1,1,0,175,88,4855,1,52334,51
male,bachelor,sunbathing,suburban,fall,1,0,0,112,189,1025,0,67078,55
female,doctorate,swimming,suburban,winter,1,1,0,271,24,1275,8,49180,20
female,doctorate,hiking,rural,winter,1,1,0,127,101,2505,5,28716,37
female,high school,skiing,suburban,spring,0,0,1,77,162,3576,6,86221,36
female,master,sunbathing,suburban,spring,0,1,0,203,144,1728,1,63316,30
non-binary,bachelor,sunbathing,suburban,spring,1,0,0,189,67,4459,5,42200,34
female,high school,hiking,rural,winter,1,0,0,166,36,3527,9,38102,31
non-binary,high school,swimming,urban,winter,0,1,0,296,18,2434,9,25130,47
female,bachelor,skiing,urban,fall,0,1,0,275,12,4808,8,62576,39
non-binary,bachelor,sunbathing,rural,summer,0,0,0,215,124,1083,9,42525,60
non-binary,master,swimming,rural,winter,0,0,0,20,133,2086,7,87169,65
non-binary,high school,swimming,suburban,spring,1,1,0,284,114,714,7,20654,60
female,bachelor,sunbathing,rural,winter,1,0,0,249,50,1088,5,73486,46
non-binary,bachelor,skiing,urban,spring,1,0,0,280,228,4234,4,113452,67
female,bachelor,swimming,suburban,fall,0,0,0,16,251,3068,6,72124,19
non-binary,high school,swimming,suburban,fall,0,1,0,86,101,2640,8,63684,25
non-binary,doctorate,skiing,suburban,spring,0,0,0,277,224,2081,2,26510,31
female,high school,hiking,urban,spring,1,0,1,220,284,4863,1,94682,51
male,bachelor,swimming,suburban,summer,1,0,0,48,125,2919,8,29263,30
female,high school,swimming,suburban,fall,1,1,0,221,72,1787,7,67545,27
male,bachelor,hiking,rural,spring,0,1,0,94,24,2376,2,75849,25
female,bachelor,hiking,suburban,summer,0,1,0,150,5,2116,7,80663,24
non-binary,master,skiing,rural,fall,1,0,0,265,258,3340,9,95663,30
female,master,sunbathing,urban,winter,0,1,0,35,288,724,0,84944,43
male,bachelor,hiking,suburban,winter,0,0,0,280,83,3048,2,89735,49
non-binary,bachelor,swimming,urban,fall,1,0,0,60,181,2716,5,83324,36
female,doctorate,skiing,rural,spring,0,1,0,224,134,1087,3,22641,32
female,doctorate,hiking,rural,fall,0,1,1,226,292,4626,7,114819,19
non-binary,bachelor,sunbathing,rural,winter,0,1,0,35,156,4523,9,49621,54
male,bachelor,skiing,suburban,summer,1,0,1,138,196,2265,7,96535,36
female,doctorate,sunbathing,urban,summer,1,1,0,185,230,2843,9,65813,50
male,high school,sunbathing,suburban,summer,0,0,0,227,221,2148,8,27869,56
female,bachelor,sunbathing,urban,winter,0,1,0,113,139,1940,4,109971,67
female,high school,sunbathing,urban,summer,1,0,0,89,287,1362,6,113144,50
female,high school,hiking,suburban,fall,0,0,0,96,77,537,1,49272,18
male,doctorate,sunbathing,suburban,spring,1,0,0,200,81,1921,5,102523,56
non-binary,bachelor,swimming,urban,summer,1,1,0,176,207,3145,3,119958,45
female,bachelor,swimming,suburban,summer,0,0,0,243,84,2113,7,70020,34
non-binary,high school,swimming,suburban,summer,1,1,0,141,292,2204,8,107342,23
female,bachelor,sunbathing,suburban,summer,0,1,0,295,22,3715,1,25906,69
female,high school,skiing,urban,spring,1,0,1,23,220,3710,5,119472,61
male,high school,sunbathing,rural,summer,0,0,0,57,58,815,5,100627,37
non-binary,doctorate,sunbathing,rural,fall,1,0,0,58,290,2996,6,81393,64
non-binary,master,swimming,suburban,fall,0,0,0,182,238,4276,1,113593,30
male,bachelor,swimming,suburban,winter,0,0,0,265,157,570,2,62830,29
non-binary,doctorate,hiking,suburban,spring,1,0,0,14,2,4048,7,98780,47
female,high school,skiing,rural,spring,0,0,1,145,170,1887,8,20412,38
female,doctorate,sunbathing,rural,fall,1,1,0,16,25,2559,2,78045,19
non-binary,bachelor,swimming,rural,fall,1,1,0,205,243,4849,2,76945,35
non-binary,doctorate,sunbathing,rural,fall,1,1,0,30,221,3296,3,41706,45
non-binary,master,swimming,urban,fall,0,1,0,49,271,3025,9,118167,21
male,bachelor,swimming,suburban,winter,0,1,0,229,178,2699,4,44061,59
non-binary,high school,skiing,rural,fall,1,1,1,48,73,3688,3,23635,60
non-binary,bachelor,swimming,urban,winter,1,1,0,190,24,3514,9,67738,23
female,doctorate,hiking,suburban,spring,1,1,0,56,52,1255,6,21852,55
male,master,skiing,rural,summer,0,0,1,21,126,3263,3,114310,26
non-binary,doctorate,hiking,urban,spring,0,1,1,25,158,3752,8,43463,37
non-binary,high school,sunbathing,suburban,spring,1,1,0,223,84,2886,0,49592,62
male,bachelor,swimming,urban,winter,1,0,0,205,158,2737,5,115053,47
female,doctorate,sunbathing,suburban,fall,0,0,0,254,48,2534,6,84097,54
male,master,sunbathing,suburban,spring,0,0,0,147,167,3033,6,108073,55
female,master,hiking,rural,fall,0,0,1,138,289,3850,6,76399,21
non-binary,doctorate,swimming,suburban,summer,1,1,0,71,287,2085,1,49174,55
non-binary,high school,skiing,suburban,spring,0,0,0,161,131,3359,2,90963,67
male,high school,sunbathing,suburban,summer,0,1,0,8,209,2735,5,68924,30
non-binary,bachelor,hiking,rural,winter,0,0,0,226,154,4591,8,44249,52
male,doctorate,swimming,urban,winter,0,1,0,74,270,651,8,94162,47
male,master,sunbathing,urban,summer,1,0,0,111,196,3347,1,96869,59
male,bachelor,sunbathing,rural,spring,0,0,0,101,68,3854,7,41525,21
non-binary,doctorate,swimming,rural,spring,0,1,0,284,3,3982,0,45515,42
female,master,sunbathing,urban,winter,1,1,0,40,116,2828,0,41881,48
non-binary,master,sunbathing,rural,fall,1,0,0,192,118,3937,6,45456,64
female,bachelor,swimming,urban,spring,1,1,0,266,280,3918,7,102468,29
female,master,sunbathing,rural,fall,0,0,0,66,35,2087,6,32990,32
female,master,swimming,rural,winter,0,1,0,30,259,2948,8,67062,43
non-binary,high school,hiking,suburban,winter,0,0,1,86,127,4420,5,74658,27
female,high school,sunbathing,rural,winter,1,1,0,263,54,3982,3,59084,29
non-binary,doctorate,skiing,urban,fall,1,1,1,9,96,3375,0,71289,39
non-binary,master,skiing,urban,fall,1,1,1,180,265,3849,2,108936,57
male,doctorate,swimming,urban,spring,0,1,0,194,273,2849,0,84674,38
non-binary,master,sunbathing,urban,winter,1,0,0,123,291,626,9,52193,52
non-binary,doctorate,hiking,urban,fall,1,0,1,214,287,3082,0,94579,24
non-binary,master,skiing,urban,fall,1,1,1,95,170,1925,5,59035,35
non-binary,bachelor,sunbathing,rural,spring,1,1,0,299,107,2488,3,42993,44
female,doctorate,skiing,suburban,winter,1,1,0,168,166,1616,4,74824,52
female,doctorate,hiking,urban,fall,1,0,1,185,273,4592,9,30061,64
non-binary,master,sunbathing,rural,winter,0,0,0,205,257,1351,6,54779,19
non-binary,doctorate,sunbathing,urban,summer,1,0,0,145,141,2279,6,22525,49
male,bachelor,hiking,rural,summer,1,0,0,84,79,1141,6,117515,32
female,high school,swimming,urban,summer,1,1,0,144,290,3198,1,68143,62
non-binary,high school,hiking,urban,fall,0,0,0,182,142,1139,5,85841,41
male,master,swimming,urban,summer,0,0,0,269,138,3157,3,101399,37
male,bachelor,hiking,rural,winter,1,1,1,31,235,4648,9,95171,27
non-binary,bachelor,sunbathing,urban,fall,1,0,0,28,68,611,5,82842,41
male,doctorate,skiing,rural,summer,0,1,0,146,60,4058,9,49009,41
male,bachelor,hiking,suburban,spring,0,0,1,140,153,2359,9,98022,41
male,master,hiking,rural,summer,1,1,1,81,147,4579,0,107306,57
female,high school,hiking,rural,fall,0,0,1,168,290,1025,0,77230,65
male,high school,hiking,urban,spring,0,1,1,52,147,1357,1,99533,65
male,master,swimming,rural,winter,1,0,0,177,58,3254,9,100627,51
